obat_id,label,nilai,urutan
1,Product Description,"Thermometer ThermoOne Alpha 1G OneMed adalah thermometer yang mudah digunakan, dan mempunyai akurasi tinggi, Layar LCD lebar, mudah dibaca, waktu pengukuran 60 detik. Ada alarm pada akhir pengukuran suhu dan memori pengukuran terakhir. Mati otomatis sesaat setelah tidak digunakan.",1
1,Indikasi Umum,Sebagai alat untuk mengukur suhu tubuh,2
1,Komposisi,-,3
1,Dosis,-,4
1,Aturan Pakai,-,5
1,Perhatian,-,6
1,Kontra Indikasi,-,7
1,Efek Samping,-,8
1,Kemasan,1 Pcs,9
1,Manufaktur,OneMed,10
1,No. Registrasi,KEMENKES RI : AKL20901312720,11
2,Product Description,"BYE BYE FEVER BAYI merupakan plester yang digunakan untuk kompres demam dan/atau nyeri yang ditujukan untuk anak umur 0-2 tahun. Plester ini berfungsi meredakan demam, sakit kepala, dan sakit gigi.",1
2,Indikasi Umum,"Plester ini digunakan untuk meredakan demam, sakit kepala, sakit gigi pada anak berusia dibawah 2 tahun.",2
2,Dosis,"Ditempelkan pada dahi/ pipi/ punggung/ bagian yang nyeri, dan diganti setiap 10 jam sampai demam atau nyeri mereda. Plester dapat dipotong dengan gunting sesuai ukuran yang diperlukan.",3
2,Aturan Pakai,"Lepaskan lapisan transparan dan tempelkan permukaan yang melekat pada daerah yang sakit. Untuk meningkatkan efek pendinginan, sebelum digunakan simpan dahulu plester di kulkas.",4
2,Perhatian,"Hanya untuk pemakaian luar. Jangan digunakan pada mata, daerah sekitar mata, selaput lunak atau kulit yang terkena eksim, ruam/luka. Hanya untuk sekali pakai.",5
2,Kontra Indikasi,-,6
2,Efek Samping,-,7
2,Kemasan,"Box, 10 Lembar",8
2,Manufaktur,-,9
2,No. Registrasi,-,10
3,Product Description,"Kasa Steril Onemed adalah kasa steril yang digunakan untuk operasi besar atau kecil, khitan, penutup luka dan bebat pusar bayi. Produk ini aman digunakan karena disterilisasi dengan iradiasi sinar gamma yang tidak meninggalkan residu bahan kimia pada produk.",1
3,Indikasi Umum,"Kasa steril ini digunakan untuk operasi besar/kecil, khitan, penutup luka, dan bebat pusar bayi.",2
3,Komposisi,Kassa steril.,3
3,Dosis,Digunakan sesuai kebutuhan.,4
3,Aturan Pakai,Gunakan untuk melindungi luka terbuka.,5
3,Perhatian,-,6
3,Kontra Indikasi,-,7
3,Efek Samping,-,8
3,Kemasan,1 Box @ 10 Pcs,9
3,Manufaktur,OneMed,10
3,No. Registrasi,Kemenkes RI: AKD11603510246,11
4,Product Description,"Andalan Pregnancy Test Kit ialah alat tes kehamilan yang praktis dan aman untuk digunakan. Dengan tingkat akurat 99% memberikan tanda awal kehamilan. Hasil pun dapat langsung dilihat tidak lebih dari 1 menit. Alat tes ini hanya berlaku satu kali penggunaan agar higienis dan praktis. Manfaat : Memberikan tanda awal kehamilan 99% akurat. Pemakaian : Lebih baik untuk tidak minum air berlebihan karena urine terlalu cair mempengaruhi hasil testpack. Lakukan test pada pagi hari setelah bangun tidur karena kadar hGG terbanyak pada saat itu. Sentuh Andalan Pregnant Test Kit pada urine, diamkan selama 1 menit. Akan muncul garis-garis pada test pack untuk mengetahui positif atau negatif""",1
4,Indikasi Umum,-,2
4,Komposisi,-,3
4,Dosis,-,4
4,Aturan Pakai,-,5
4,Perhatian,-,6
4,Kontra Indikasi,-,7
4,Efek Samping,-,8
4,Kemasan,-,9
4,Manufaktur,-,10
4,No. Registrasi,-,11
5,Product Description,Kool Fever Baby adalah kompres gel khusus yang berguna untuk membantu menyerap panas dan meringankan demam pada bayi secara alami. Gel ini aman digunakan dan mampu merekat lembut pada kening bayi sehingga akan tetap melekat walaupun bayi bergerak. Koolfever Baby dibuat dengan ukuran yang disesuaikan dengan kening bayi.,1
5,Indikasi Umum,Membantu menurunkan panas dan meringankan demam yang dialami oleh bayi.,2
5,Komposisi,-,3
5,Dosis,"Sesuai kebutuhan, dapat bertahan selama 6 jam",4
5,Aturan Pakai,Lepaskan lapisan transparan dan tempelkan permukaan yang mengandung gel pada kulit yang kering dan bersih tanpa mengenai rambut.,5
5,Perhatian,"Jangan gunakan produk pada hidung atau memasukannya ke dalam mulut karena dapat menyebabkan kesulitan bernapas.  orang dewasa diperlukan bila produk akan digunakan oleh orang yang sulit melepas produk sendiri spt bay, orang yang memiliki keterbatasan fisik. Jika selama atau setelah penggunaan terdapat kelainan pada kulit seperti timnul radang, kemerahan dan sebagainya, hentikan penggunaannya dan hubungi dokter kulit. Jangan gunakan produk pada kulit yang radang atau terbakar sinar matahari dan luka terbuka seperti teriris, eksim, ruam, luka bakar dll. Produk ini bukan produk medis, bila demam berlanjut segera hubungi dokter. Jangan dimasukan ke dalam kulkas. Hati-hati jangan sampai tertelan.",6
5,Kontra Indikasi,-,7
5,Efek Samping,-,8
5,Kemasan,1 Sachet @ 1 Pcs,9
5,Manufaktur,Kobayashi Pharmaceutical Indonesia,10
5,No. Registrasi,Kemenkes RI: AKL11403513964,11
6,Product Description,"Kool fever Adult merupakan plester kompres penurun panas dan pereda nyeri, dengan memberikan efek dingin. Plester ini dapat memberikan sensasi dingin hingga 8 jam.",1
6,Indikasi Umum,"Plester kompres penurun panas dan pereda nyeri, dengan memberikan efek dingin. Plester ini dapat memberikan sensasi dingin hingga 8 jam.",2
6,Komposisi,-,3
6,Dosis,Sesuai kebutuhan,4
6,Aturan Pakai,Lepaskan lapisan transparan dan tempelkan permukaan yang mengandung gel pada kulit yang kering dan bersih tanpa mengenai rambut.,5
6,Perhatian,-,6
6,Kontra Indikasi,-,7
6,Efek Samping,-,8
6,Kemasan,1 Sachet,9
6,Manufaktur,Kobayashi Pharmaceutical Indonesia,10
6,No. Registrasi,Kemenkes RI: AKL11403513967,11
7,Product Description,"Hansaplast Kain Elastis merupakan plester serba guna untuk semua jenis luka ringan. Dengan keunggulan: Melindungi dari kotoran dan bakteri, dan mencegah infeksi pada luka. Dengan kain yang lentur dan berpori dapat membuat kulit leluasa bernapas. Dapat mengikuti pergerakan Anda untuk pemakaian yang nyaman. Bantalan luka yang tidak lengket, melindungi luka sehingga plester dapat dilepaskan dengan mudah dan tidak sakit. Hansaplast Kain Elastis Mix ini berisi 2 varian ukuran: 8 Standard dan 2 Jumbo",1
7,Indikasi Umum,Melindungi luka dari kotoran dan bakteri dan menutup rapat di sekeliling luka.,2
7,Komposisi,-,3
7,Dosis,Gunakan sesuai kebutuhan.,4
7,Aturan Pakai,-,5
7,Perhatian,-,6
7,Kontra Indikasi,-,7
7,Efek Samping,-,8
7,Kemasan,1 Pack @ 10 Pcs,9
7,Manufaktur,Beiersdorf Indonesia,10
8,Product Description,Hansaplast Junior Fun melindungi luka gores dan luka sayat buah hati Anda dari kotoran dan bakteri. Plester warna-warni bergambar binatang yang lucu untuk luka si kecil.,1
8,Indikasi Umum,Melindungi luka dari kotoran dan bakteri dan menutup rapat di sekeliling luka.,2
8,Komposisi,-,3
8,Dosis,Gunakan sesuai kebutuhan.,4
8,Aturan Pakai,"Bersihkan luka Anda dari kotoran, bakteri dan partikel terlihat dengan Hansaplast Spray Antiseptik untuk mencegah infeksi. Keringkan kulit sekitar luka dengan lembut. Lindungi luka dari air menggunakan plester Hansaplast. Aplikasikan tanpa menarik plester.",5
8,Perhatian,-,6
8,Kontra Indikasi,-,7
8,Efek Samping,-,8
8,Kemasan,1 Pack @ 10 Pcs,9
8,Manufaktur,Beiersdorf Indonesia,10
8,No. Registrasi,Kemenkes RI: AKD10902210200,11
9,Product Description,"Kasa Perban Onemed (3.6 M X 5 cm) merupakan kasa roll kemasan kecil yang memiliki daya serap tinggi dan tanpa sambungan, menyerap cairan secara maksimal.",1
9,Indikasi Umum,Digunakan untuk membalut luka. Membantu pembersihan luka terbuka. Melindungi luka dari infeksi lanjutan.,2
9,Komposisi,Benang katun berdaya serap tinggi.,3
9,Dosis,Digunakan sesuai kebutuhan.,4
9,Aturan Pakai,Bersihkan luka atau bagian tubuh lainnya yang akan dibalutkan perban. Ambil perban secukupnya. Balutkan luka dengan menggunakan plester. Ganti secara berkala.,5
9,Perhatian,Hanya untuk pemakaian luar. Jauhkan dari jangkauan anak-anak.,6
9,Kontra Indikasi,-,7
9,Efek Samping,-,8
9,Kemasan,Pack @ 10 Pcs,9
9,Manufaktur,Onemed,10
10,Product Description,"Hansaplast Kain Elastis Standard merupakan alat kesehatan yang mengandung silvercare, digunakan untuk menutup luka dan memberi bantalan bagi luka.",1
10,Indikasi Umum,Melindungi luka dari kotoran dan bakteri.,2
10,Komposisi,-,3
10,Dosis,Sesuai kebutuhan.,4
10,Aturan Pakai,"Bersihkan luka dari kotoran, bakteri dan partikel untuk mencegah infeksi. Keringkan kulit sekitar luka dengan lembut. Lindungi luka dari kotoran dan bakteri menggunakan Hansaplast Kain Elastis dengan ukuran yang tepat. Ganti plester setiap hari untuk hasil yang maksimal.",5
10,Perhatian,-,6
10,Kontra Indikasi,-,7
10,Efek Samping,-,8
10,Kemasan,Box @100 pcs,9
10,Manufaktur,Beiersdorf Indonesia,10
10,No. Registrasi,Kemenkes: AKD10902110112,11
11,Product Description,"Trasti Aid Latex Examination Gloves Powdered ? Ukuran M adalah sarung tangan medis sekali pakai yang terbuat dari lateks alami berkualitas tinggi. Dilengkapi dengan bedak ringan (pre-powdered) di bagian dalam, sarung tangan ini dirancang untuk memberikan kenyamanan dan kemudahan saat digunakan. Produk ini cocok untuk berbagai keperluan medis dan laboratorium.?",1
