obat_id,label,nilai,urutan
51,Product Description,PediaSure Complete adalah dukungan nutrisi anak yang dirancang untuk membantu mendukung pertumbuhan anak yang berisiko gizi kurang. PediaSure Complete adalah Nutrisi untuk mendukung pertumbuhan dilengkapi dengan LA & ALA. Mengandung Asam Linoleat 1.64 g/saji & Asam Alfa Linolenat 0.19 g/saji. Protein salah satu komponen esensial dalam pertumbuhan & perkembangan anak. Kalsium membantu dalam pembentukan & mempertahankan kepadatan tulang dan gigi. 12 Vitamin & 8 Mineral. Membantu memenuhi kebutuhan nutrisi harian. Zat Besi & Zink. Zat Besi merupakan komponen hemoglobin dalam sel darah merah yang membawa oksigen ke seluruh bagian tubuh.,1
51,Indikasi Umum,Nutrisi anak yang dirancang untuk membantu mendukung pertumbuhan anak yang berisiko gizi kurang.,2
51,Komposisi,"Dengan Formula Padat Kalori 1 Kkal/mL, LA & ALA, Protein Berkualitas, Kalsium, Zat Besi, Zink serta 12 vitamin & Mineral.",3
51,Dosis,2 saji untuk anak 1-3 tahun. 3 saji untuk anak 4-10 tahun. 1 Takaran saji (49 g) bubuk dalam 190 mL air untuk menghasilkan 226 mL minuman (419 mmol/ kg).,4
51,Aturan Pakai,Digunakan sebagai nutrisi tambahan atau selingan yang diberikan 1-3 gelas sehari.,5
51,Perhatian,Jangan memanaskan formula dalam microwave. Dapat menyebabkan luka bakar serius.,6
51,Kontra Indikasi,-,7
51,Efek Samping,-,8
51,Kemasan,Kaleng @ 850 gram,9
51,Manufaktur,Abbott Laboratories,10
51,No. Registrasi,BPOM: ML562409057512,11
52,Product Description,"Pediasure / Pediacomplete Vanilla merupakan nutrisi untuk mendukung pertumbuhan anak. Untuk anak usia 1-10 tahun. Pediasure Complete mengandung Sinbiotik yang merupakan kombinasi antara Probiotik dan Prebiotik untuk menjaga fungsi saluran pencernaan dan penyerapan nutrisi mengandung Omega 6 dan Omega 3 sebagai prekursor pembentukan AA dan DHA, dan Kandungan Medium Chain Triglycerides (MCT) di dalamnya merupakan campuran lemak agar mudah dicerna dan diserap sebagai sumber energi optimal untuk tumbuh kembang.",1
52,Indikasi Umum,"Nutrisi untuk mendukung pertumbuhan anak dengan faltering growth, anak dengan masalah makan, anak dengan berat badan kurang dan anak dengan grafik pertumbuhan di bawah normal. Untuk anak usia 1-10 tahun.",2
52,Komposisi,"Pati jagung terhidrolisa, Minyak Nabati ( Minayak bunga matahari tinggi oleat, minyak kedelai, minyak kanola, minyak MCTI, sukrosa, konsetrat protesin susu, isolat protein kedelai, FruktoOligosakarida (FOS) , 17 mineral ( Kalium klorida, kalsium fosfat dibasik, kalium sitrat , magnesium fosfat dibasik, natrium klorida, besi sulfat, kalium iodida , krimium klorida , natrium selenit , natrium molibdat), Pengemulsi lesitin kedelai , perisa sintetik, 13 vitamin ( Asam askorbat , dlAlfa tokoferil asetat, dkalsium pantotenat , niasinamida, piridoksin HCL, Thiamin HCL, riboflavin , vitamin A palmitat , asam folat , folokuinon , biotin , vitamin D3 , sionokobalamin, kolin klorida, antioksidan dan askorbit palmitat, taurin, M-Inositol , LKarnitin tartat , Lactobacilis acidophilus, Antioksidan campuran tokoferol.",3
52,Dosis,"Disarankan untuk tidak melebihi batas saji takaran maksimum : 2 saji untuk anak 1-3 tahun , 3 saji untuk anak 4-10 tahun. per 1 Takaran saji ( 49 g ) bubuk dalam 190 mL air untuk menghasilkan 226 mL minuman ( 419 mmol/ kg )",4
52,Aturan Pakai,"Saran Penyajian : Untuk menyiapkan satu sajian 226 mL : tuangkan 190 mL air dengan suhu kamar atau dingin ke dalam gelas dan tambahkan secara bertahap 5 sendok takar atau setara dengan 49 g bubuk pediasure complete, aduk hingga rata. Disarankan untuk tidak melebihi batas saji takaran maksimum : 2 saji untuk anak 1-3 yahun , 3 saji untuk anak 4-10 tahun. per 1 Takaran saji ( 49 g ) bubuk dalam 190 mL air untuk menghasilkan 226 mL minuman ( 419 mmol/ kg ).",5
52,Perhatian,"Produk ini merupakan pangan olahan keperluan medis khusus sebagai dukungan nutrisi pada annak berisiko gizi kurang usia 1-10 tahun. Penggunaan produk ini harus dengan rekomendasi dokter. Jangan memanaskan formula dalam formula dalam microwave. Dapat menyebabkan luka bakar serius. Penyimpanan : Simpan di tempat sejuk dan kering , serta terhindar dari sinar matahari langsung.",6
52,Kemasan,Kaleng @ 400 g,7
52,Manufaktur,Abbott,8
52,No. Registrasi,BPOM: ML562409057512,9
53,Product Description,Momogi Stick Jagung Bakar adalah makanan ringan berbentuk stick dan berongga di bagian tengah dengan rasa jagung bakar. Mempunyai kemasan yang simple sehingga mudah dibawa kemana - mana. Jajanan/Snack kesukaan anak-anak dan orang dewasa dan ideal untuk dikonsumsi bersama keluarga,1
53,Komposisi,"Jagung, minyak nabati, gula, susu bubuk, garam, perisa",2
53,Kemasan,Box @ 10 Pcs,3
53,Manufaktur,Sari Murni Abadi,4
53,No. Registrasi,BPOM: MD273710090182,5
54,Product Description,Dangro Gain & Grow 1+ adalah susu bubuk formula 100 kkal/100 ml untuk kejar tumbuh anak usia 1 tahun ke atas,1
54,Indikasi Umum,"Susu untuk kejar tumbuh anak usia 1 tahun ke atas
- Anak berisiko Gagal Tumbuh
- Gizi Kurang
- Gizi Buruk",2
54,Komposisi,"Susu bubuk, Maltodekstrin, Campuran minyak nabati (mengandung antioksidan askorbil palmitat), Sukrosa, Minyak trigliserida rantai sedang (MCT), Serat pangan, Mineral, Madu bubuk, Perisa (alami madu, sintetik vanila & alami), Premiks vitamin, Kolin klorida, Minyak ikan (sumber DHA) (mengandung antioksidan natrium askorbat, tokoferol campuran pekat, dan askrobil palmitat), L-Karnitin",3
54,Dosis,Sesuai dengan anjuran dokter,4
54,Perhatian,"Tidak cocok untuk bayi usia di bawah 12 bulan, dan harus dengan resep dokter",5
54,Kemasan,Box @ 400 Gram,6
54,Manufaktur,"Nestle Indonesia, Pt",7
54,No. Registrasi,BPOM RI : MD 862411027116,8
55,Product Description,Momogi Stick Coklat adalah makanan ringan berbentuk stick dan berongga di bagian tengah dengan rasa coklat. Mempunyai kemasan yang simple sehingga mudah dibawa kemana - mana. Jajanan/Snack kesukaan anak-anak dan orang dewasa dan ideal untuk dikonsumsi bersama keluarga,1
55,Komposisi,"Jagung, minyak nabati, gula, susu bubuk, garam, perisa",2
55,Kemasan,Box @ 10 Pcs,3
55,Manufaktur,Sari Murni Abadi,4
55,No. Registrasi,BPOM: MD273710098182,5
56,Product Description,"SGM EKSPLOR GAIN OPTIGROW\n\nFormula Bayi Bubuk Formula 100 kkal/100 ml untuk anak usia di atas 1 tahun dengan indikasi:\n- Anak berisiko gagal tumbuh\n- Gizi kurang\n- Gizi buruk\n\nHARUS DENGAN RESEP DOKTER\nProduk bukan untuk pemberian secara parental.\n\nPENTING BUNDA KETAHUI\nAir susu ibu adalah makanan terbaik untuk bayi Anda. Susu formula bayi bukan pengganti Air Susu Ibu (ASI). ASI Eksklusif diberikan sejak bayi lahir sampai usia 6 bulan dan dilanjutkan sampai dengan bayi berusia 2 (dua) tahun dengan pemberian makanan tambahan yang sesuai. Pemakaian SGM Eksplor Gain Optigrow atas nasehat dokter, bidan dan perawat independent berdasarkan indikasi medis.",1
56,Indikasi Umum,"Sebagai susu pertumbuhan anak yang memiliki indikasi anak beresiko gagal tumbuh, gizi kurang dan gizi buruk.",2
56,Komposisi,"Susu bubuk, Maltodekstrin, Campuran minyak nabati (mengandung antioksidan askorbil palmitat), Sukrosa, Minyak trigliserida rantai sedang (MCT), Serat pangan, Mineral, Madu bubuk, Perisa (alami madu, sintetik vanila & alami), Premiks vitamin, Kolin klorida, Minyak ikan (sumber DHA) (mengandung antioksidan natrium askorbat, tokoferol campuran pekat, dan askrobil palmitat), L-Karnitin.

Mengandung alergen, lihat daftar bahan yang dicetak tebal.",3
56,Dosis,"Larutkan 4 sendok takar SGM Eksplor Gain Optigrow pada 180 ml air matang hangat, aduk hingga merata.",4
56,Aturan Pakai,Tertera pada kemasan produk,5
56,Perhatian,"1. Tidak cocok untuk bayi usia di bawah 12 bulan.\n2. Siapkan larutan susu SGM Eksplor Gain Optigrow hanya untuk 1 kali pemberian. Jangan digunakan lagi untuk pemberian berikutnya bila masih tersisa.\n3. Tidak cocok untuk bayi atau anak yang tidak mengalami risiko gagal tumbuh, gizi kurang, atau gizi buruk.",6
56,Kemasan,Box @ 800 Gram,7
56,Manufaktur,"Sarihusada Generasi Mahardhika, Pt",8
56,No. Registrasi,BPOM RI : MD 862411027116,9
