obat_id,label,nilai,urutan
151,Product Description,"Glycore Cream 10% adalah krim topikal yang mengandung Glycolic Acid dengan konsentrasi 10%. Krim ini dirancang untuk meremajakan kulit, dengan berbagai manfaat untuk perawatan kulit, termasuk pengobatan jerawat dan komponen anti-penuaan. Glycolic acid, yang termasuk dalam kelompok AHA (Alpha Hydroxy Acid), bekerja dengan cara mengangkat sel kulit mati, memperbaiki tekstur kulit, serta merangsang produksi kolagen, menjadikannya efektif dalam perawatan kulit yang lebih cerah dan lebih muda.",1
151,Indikasi Umum,Membantu mengatasi hiperpigmentasi dan bintik hitam pada kulit.,2
151,Komposisi,Glycolic Acid 10%.,3
151,Dosis,Oleskan tipis - tipis pada kulit.,4
151,Aturan Pakai,Dapat digunakan pagi dan malam hari.,5
151,Perhatian,"- Hindari olesan krim Glycore 10% dekat mata, mulut, dan membran mukosa lainnya.\n- Hindari kontak langsung dengan sinar matahari setelah pemakaian, karena dapat meningkatkan risiko iritasi kulit.",6
151,Kontra Indikasi,Hipersensitivitas (alergi) terhadap asam glikolat.,7
151,Efek Samping,"Mungkin terjadi kemerahan, gatal, dan iritasi, terutama pada kulit yang sensitif. Jika efek samping ini berlanjut atau memburuk, hentikan penggunaan dan konsultasikan dengan dokter.",8
151,Kemasan,Pot @ 10 Gram,9
151,Manufaktur,"Genero Pharmaceuticals, Pt",10
151,No. Registrasi,BPOM RI: NA18190105346,11
152,Product Description,Niacef adalah obat untuk mengobati acne vulgaris terutama bentuk inflamasi dengan pulpula dan pustula.,1
152,Indikasi Umum,Untuk mengobati acne vulgaris terutama bentuk inflamasi dengan pulpula dan pustula.,2
152,Komposisi,Niacinamide 4%,3
152,Dosis,Oleskan gel 2 x sehari,4
152,Aturan Pakai,Gel dioleskan pada jerawat/lesi-lesi peradangan setelah wajah dibersihkan.,5
152,Perhatian,"Hanya untuk pemakaian luar, hindarkan kontak dengan mata dan selaput lendir lainnya. Jika terjadi iritasi, kekeringan atau kulit kemerah-merahan yang berlebihan pengobatan dihentikan. Hati-hati diberikan pada wanita hamil terutama semester pertama.",6
152,Kontra Indikasi,Tidak digunakan terhadap orang yang sensitif terhadap Nikotinamid atau bahan lainnya yang terkandung didalamnya.,7
152,Efek Samping,"Dapat terjadi rasa panas atau rasa membakar. Dengan menggunakan bahan pembawa yang cocok , efek tersebut dapat dihindarkan. Jarang menimbulkan iritasi dan eritema, yang sering terjadi ialah kulit kering.",8
152,Kemasan,Tube @ 15 Gram,9
152,Manufaktur,Surya Dermato Medica Laboratories,10
