id,nama,harga,diskon_persen,kategori,path_gambar
1,Thermometer ThermoOne Alpha 1G OneMed untuk Mengukur Suhu Tubuh(1 Pcs),31300,0,Alat Kesehatan,products/Thermometer-ThermoOne-Alpha-1G-OneMed-untuk-Mengukur-Suhu-Tubuh(1-Pcs).jpg
2,Bye Bye Fever For Baby untuk Menurunkan Demam (10 Pcs),80000,0,Alat Kesehatan,products/Bye-Bye-Fever-For-Baby-untuk-Menurunkan-Demam-(10-Pcs).jpg
3,Kasa Steril Onemed (16 X 16 cm) (10 Pcs),7700,0,Alat Kesehatan,products/Kasa-Steril-Onemed-(16-X-16-cm)-(10-Pcs).jpg
4,Andalan Pregnancy Test Kit Alat Uji Kehamilan (1 Pcs),7300,0,Alat Kesehatan,products/Andalan-Pregnancy-Test-Kit-Alat-Uji-Kehamilan-(1-Pcs).jpg
5,Kool Fever Baby Kompres Penurun Panas & Pereda Nyeri (1 Sachet),7600,0,Alat Kesehatan,products/Kool-Fever-Baby-Kompres-Penurun-Panas-&-Pereda-Nyeri-(1-Sachet).jpg
6,Kool fever Adult Plester Kompres Penurun Panas (1 Sachet),12900,0,Alat Kesehatan,products/Kool-fever-Adult-Plester-Kompres-Penurun-Panas-(1-Sachet).jpg
7,Hansaplast Kain Elastis Mix Melindungi Luka dari Kotoran (10 Lembar),8000,0,Alat Kesehatan,products/Hansaplast-Kain-Elastis-Mix-Melindungi-Luka-dari-Kotoran-(10-Lembar).jpg
8,Hansaplast Junior Fun Melindungi Luka dari Kotoran (10 Pcs),7600,0,Alat Kesehatan,products/Hansaplast-Junior-Fun-Melindungi-Luka-dari-Kotoran-(10-Pcs).jpg
9,Onemed Perban Kasa 3.6 M x 5 Cm untuk Membalut Luka (Pack 10 Pcs),16000,0,Alat Kesehatan,products/Onemed-Perban-Kasa-3.6-M-x-5-Cm-untuk-Membalut-Luka-(Pack-10-Pcs).jpg
10,Hansaplast Kain Elastis Standard Plester Luka (100 Pcs),34800,0,Alat Kesehatan,products/Hansaplast-Kain-Elastis-Standard-Plester-Luka-(100-Pcs).jpg
11,Sarung Tangan Trasti Aid Powdered Size M Handscoon Latex (100 Pcs),90000,0,Alat Kesehatan,products/Sarung-Tangan-Trasti-Aid-Powdered-Size-M-Handscoon-Latex-(100-Pcs).jpg
12,Bye Bye Fever For Children Plester Kompress Demam (1 Sachet),11600,0,Alat Kesehatan,products/Bye-Bye-Fever-For-Children-Plester-Kompress-Demam-(1-Sachet).jpg
13,Hansaplast Transparan Standar 19 X 72 mm (1215) (10 Pcs),10700,0,Alat Kesehatan,products/Hansaplast-Transparan-Standar-19-X-72-mm-(1215)-(10-Pcs).jpg
14,"Hansaplast Roll Kain 1,25 cm X 4,5 m (1 Roll)",13600,0,Alat Kesehatan,"products/Hansaplast-Roll-Kain-1,25-cm-X-4,5-m-(1-Roll).jpg"
15,Onemed Kotak P3K + Isi (1 Pack),40600,0,Alat Kesehatan,products/Onemed-Kotak-P3K-plus-Isi-(1-Pack).jpg
16,Masker Bowin KN95 3D Pack (5 +5 Pcs) Warna Random,9200,0,Alat Kesehatan,products/Masker-Bowin-KN95-3D-Pack-(5-plus5-Pcs)-Warna-Random.jpg
17,Hypafix untuk Membalut Luka 5 cm X 1M (1 Roll),26700,0,Alat Kesehatan,products/Hypafix-untuk-Membalut-Luka-5-cm-X-1M-(1-Roll).jpg
18,Hansaplast Kain Elastis Melindungi Luka dari Kotoran (20 Lembar),12600,0,Alat Kesehatan,products/Hansaplast-Kain-Elastis-Melindungi-Luka-dari-Kotoran-(20-Lembar).jpg
19,"Pure Kids Fever Free untuk Penurun Panas Anak (1 Sachet)
",6900,0,Alat Kesehatan,products/Pure-Kids-Fever-Free-untuk-Penurun-Panas-Anak-(1-Sachet).jpg
20,Kasa Steril Husada (16 X 16 Cm) Pack (16 Pcs),13700,0,Alat Kesehatan,products/Kasa-Steril-Husada-(16-X-16-Cm)-Pack-(16-Pcs).jpg
21,Kool fever Child Plester Kompres Penurun Panas (1 Sachet),10200,0,Alat Kesehatan,products/Kool-fever-Child-Plester-Kompres-Penurun-Panas-(1-Sachet).jpg
22,Hansaplast Kasa Roll Elastis 4 m x 6 cm (1 Roll),8500,0,Alat Kesehatan,products/Hansaplast-Kasa-Roll-Elastis-4-m-x-6-cm-(1-Roll).jpg
23,Omron Digital Thermometer MC-246 Pengukur Suhu Tubuh (1 Pcs),83500,0,Alat Kesehatan,products/Omron-Digital-Thermometer-MC-246-Pengukur-Suhu-Tubuh-(1-Pcs).jpg
24,"Medicrepe 3"" (7,5 cm x 4,5 cm) untuk Perawatan Keseleo (1 Pcs)",23200,0,Alat Kesehatan,"products/Medicrepe-3petik-(7,5-cm-x-4,5-cm)-untuk-Perawatan-Keseleo-(1-Pcs).jpg"
25,Akurat Uji Kehamilan Compact / Test Pack (1 Pcs),25500,0,Alat Kesehatan,products/Akurat-Uji-Kehamilan-Compact-miring-Test-Pack-(1-Pcs).jpg
26,"Hansaplast Sensitive Steril XL (8 X 10 cm) (5 Lembar)
",64500,0,Alat Kesehatan,products/Hansaplast-Sensitive-Steril-XL-(8-X-10-cm)-(5-Lembar).jpg
27,Sensi Pads Ukuran L (60 X 90 cm) (10 Pack),48000,0,Alat Kesehatan,products/Sensi-Pads-Ukuran-L-(60-X-90-cm)-(10-Pack).jpg
28,Masker Bowin KN95 4D Pack Perlindungan Pernafasan (5 +5 Pcs),15900,0,Alat Kesehatan,products/Masker-Bowin-KN95-4D-Pack-Perlindungan-Pernafasan-(5-plus5-Pcs).jpg
29,Testpack Strip untuk Mendeteksi Kehamilan (1 Strip),13900,0,Alat Kesehatan,products/Testpack-Strip-untuk-Mendeteksi-Kehamilan-(1-Strip).jpg
30,Onemed Uji Kehamilan Strip (50 Strip),170000,0,Alat Kesehatan,products/Onemed-Uji-Kehamilan-Strip-(50-Strip).jpg
31,Hypafix 5 cm X 5 m Plester Penutup Luka (1 Pcs),127300,0,Alat Kesehatan,products/Hypafix-5-cm-X-5-m-Plester-Penutup-Luka-(1-Pcs).jpg
32,Nourish Beauty Care Acne Plast For Girl (1 Pack),20100,0,Alat Kesehatan,products/Nourish-Beauty-Care-Acne-Plast-For-Girl-(1-Pack).jpg
33,"Leukomed 5 cm x 7,2 cm Plester Luka (1 Roll)",7100,0,Alat Kesehatan,"products/Leukomed-5-cm-x-7,2-cm-Plester-Luka-(1-Roll).jpg"
34,Termorex Fever Patch Plester Kompres Demam (6 Sachet),54000,0,Alat Kesehatan,products/Termorex-Fever-Patch-Plester-Kompres-Demam-(6-Sachet).jpg
35,Hansaplast Aqua Protect Steril XXL (8 X 10 cm) (5 Lembar),79500,0,Alat Kesehatan,products/Hansaplast-Aqua-Protect-Steril-XXL-(8-X-10-cm)-(5-Lembar).jpg
36,Hypafix 10cm x 5m (71442-04) Plester Penutup Luka Lebar (1 Pcs),221900,0,Alat Kesehatan,products/Hypafix-10cm-x-5m-(71442-04)-Plester-Penutup-Luka-Lebar-(1-Pcs).jpg
37,Rossmax TG-100 Digital Thermometer untuk Mengukur Suhu Tubuh (1 Pcs),89900,0,Alat Kesehatan,products/Rossmax-TG-100-Digital-Thermometer-untuk-Mengukur-Suhu-Tubuh-(1-Pcs).jpg
38,Cuticell Classic 10cm X 10cm untuk Menutup Luka (1 Pcs),22900,0,Alat Kesehatan,products/Cuticell-Classic-10cm-X-10cm-untuk-Menutup-Luka-(1-Pcs).jpg
39,Lifree Popok Perekat XL Popok Dewasa Pack (6 Pcs),55500,0,Alat Kesehatan,products/Lifree-Popok-Perekat-XL-Popok-Dewasa-Pack-(6-Pcs).jpg
40,"Leukomed T Plus 7,2 X 5 cm (72382-00) Plester Luka (1 Pcs)",14500,0,Alat Kesehatan,"products/Leukomed-T-Plus-7,2-X-5-cm-(72382-00)-Plester-Luka-(1-Pcs).jpg"
41,Hansaplast Second Skin Protection XL Plester Penutup Luka (3 Patches),59600,0,Alat Kesehatan,products/Hansaplast-Second-Skin-Protection-XL-Plester-Penutup-Luka-(3-Patches).jpg
42,Andalan Ovulation Test Kit untuk Alat Uji Masa Subur (Box - 3 Pieces),55100,0,Alat Kesehatan,products/Andalan-Ovulation-Test-Kit-untuk-Alat-Uji-Masa-Subur-(Box---3-Pieces).jpg
43,"Leukoplast 1,25 cm X 4,5 M Merekatkan Penutup Luka (1 Roll)",14500,0,Alat Kesehatan,"products/Leukoplast-1,25-cm-X-4,5-M-Merekatkan-Penutup-Luka-(1-Roll).jpg"
44,Leukomed T Plus 8 X 10 cm (72382-01) Plester Luka (1 Pcs),27900,0,Alat Kesehatan,products/Leukomed-T-Plus-8-X-10-cm-(72382-01)-Plester-Luka-(1-Pcs).jpg
45,Dermafix-T (5cm X 7cm) Plester untuk Melindungi Luka (1 Box),50000,0,Alat Kesehatan,products/Dermafix-T-(5cm-X-7cm)-Plester-untuk-Melindungi-Luka-(1-Box).jpg
46,Leukoplast Aqua Pro (38X63 mm) Plester Luka (3 Pcs),16800,0,Alat Kesehatan,products/Leukoplast-Aqua-Pro-(38X63-mm)-Plester-Luka-(3-Pcs).jpg
47,Dr. Kool Adult untuk Menurunkan Demam (1 Sachet),17200,0,Alat Kesehatan,products/Dr.-Kool-Adult-untuk-Menurunkan-Demam-(1-Sachet).jpg
48,"Onemed Double Spike Infusion 7 cm Alat untuk Cairan Infus (Pack - 3 Pieces)
",18000,0,Alat Kesehatan,products/Onemed-Double-Spike-Infusion-7-cm-Alat-untuk-Cairan-Infus-(Pack---3-Pieces).jpg
49,Ovutest Strip untuk Mendeteksi Masa Kesuburan Wanita (1 Strip),29900,0,Alat Kesehatan,products/Ovutest-Strip-untuk-Mendeteksi-Masa-Kesuburan-Wanita-(1-Strip).jpg
50,Rossmax Thermometer TG380 Qutie untuk Mengukur Suhu Tubuh (1 Pcs),130500,0,Alat Kesehatan,products/Rossmax-Thermometer-TG380-Qutie-untuk-Mengukur-Suhu-Tubuh-(1-Pcs).jpg
