id,nama,harga,diskon_persen,kategori,path_gambar
1,Pediacomplete Vanilla Susu Pertumbuhan Usia 1-10 Tahun (800 Gram),380000,0,Makanan dan Minuman,products/Pediacomplete-Vanilla-Susu-Pertumbuhan-Usia-1-10-Tahun-(800-Gram).jpg
2,Pediacomplete Vanilla Susu Pertumbuhan Usia 1-10 Tahun (380 Gram),176000,0,Makanan dan Minuman,products/Pediacomplete-Vanilla-Susu-Pertumbuhan-Usia-1-10-Tahun-(380-Gram).jpg
3,Momogi Stick Jagung Bakar 12 gr Snack Makanan Ringan (10 Pcs),10000,0,Makanan dan Minuman,products/Momogi-Stick-Jagung-Bakar-12-gr-Snack-Makanan-Ringan-(10-Pcs).jpg
4,Dangro Gain & Grow 1+ Susu untuk Kejar Tumbuh Anak Usia 1+ (400 Gram),98500,0,Makanan dan Minuman,products/Dangro-Gain-&-Grow-1plus-Susu-untuk-Kejar-Tumbuh-Anak-Usia-1plus-(400-Gram).jpg
5,Momogi Stick Coklat 12 gr Snack Makanan Ringan (10 Pcs),10000,0,Makanan dan Minuman,products/Momogi-Stick-Coklat-12-gr-Snack-Makanan-Ringan-(10-Pcs).jpg
6,SGM Eksplor Gain Optigrow Susu Formula Anak 1 Tahun ke Atas (800 Gram),188500,0,Makanan dan Minuman,products/SGM-Eksplor-Gain-Optigrow-Susu-Formula-Anak-1-Tahun-ke-Atas-(800-Gram).jpg
7,SGM Eksplor Gain Optigrow Susu Formula Anak 1 Tahun ke Atas (400 Gram),89900,0,Makanan dan Minuman,products/SGM-Eksplor-Gain-Optigrow-Susu-Formula-Anak-1-Tahun-ke-Atas-(400-Gram).jpg
8,Feminax Lancar Haid Membantu Meredakan Nyeri Haid (12 Sachet),27600,0,Makanan dan Minuman,products/Feminax-Lancar-Haid-Membantu-Meredakan-Nyeri-Haid-(12-Sachet).jpg
9,Nutrinidrink Powder Vanilla untuk Usia 1-12 Tahun (800 Gram),407900,0,Makanan dan Minuman,products/Nutrinidrink-Powder-Vanilla-untuk-Usia-1-12-Tahun-(800-Gram).jpg
10,Dancow GroPlus Susu Pertumbuhan Anak Usia 1 - 12 Tahun (400 Gram),69200,0,Makanan dan Minuman,products/Dancow-GroPlus-Susu-Pertumbuhan-Anak-Usia-1---12-Tahun-(400-Gram).jpg
11,Kiranti Sehat Datang Bulan Original - 150 ml,7000,0,Makanan dan Minuman,products/Kiranti-Sehat-Datang-Bulan-Original---150-ml.jpg
12,Adem Sari Box Sachet 7 Gram (5 Sachet),19500,0,Makanan dan Minuman,products/Adem-Sari-Box-Sachet-7-Gram-(5-Sachet).jpg
13,Pediasure MRI Rasa Vanila Kaleng (850 Gram),362000,0,Makanan dan Minuman,products/Pediasure-MRI-Rasa-Vanila-Kaleng-(850-Gram).jpg
14,Lo Han Kuo Infusion Meredakan Panas Dalam (12 Pcs),25200,0,Makanan dan Minuman,products/Lo-Han-Kuo-Infusion-Meredakan-Panas-Dalam-(12-Pcs).jpg
15,Permen Alba Pastiles Melegakan Tenggorokan (100 Gram),13500,0,Makanan dan Minuman,products/Permen-Alba-Pastiles-Melegakan-Tenggorokan-(100-Gram).jpg
16,Larutan Cap Kaki Tiga Botol Meredakan Panas Dalam (500 ml),7300,0,Makanan dan Minuman,products/Larutan-Cap-Kaki-Tiga-Botol-Meredakan-Panas-Dalam-(500-ml).jpg
17,Nutrinidrink Powder untuk Usia 1-12 Tahun (400 Gram),196900,0,Makanan dan Minuman,products/Nutrinidrink-Powder-untuk-Usia-1-12-Tahun-(400-Gram).jpg
18,You C 1000 Vitamin Orange Minuman Vitamin C 140 ml (Pack - 3 Botol),21000,0,Makanan dan Minuman,products/You-C-1000-Vitamin-Orange-Minuman-Vitamin-C-140-ml-(Pack---3-Botol).jpg
19,Bear Brand Susu Steril Menjaga Daya Tahan Tubuh (189 ml),10800,0,Makanan dan Minuman,products/Bear-Brand-Susu-Steril-Menjaga-Daya-Tahan-Tubuh-(189-ml).jpg
20,Larutan Cap Kaki Tiga Botol Meredakan Panas Dalam (200 ml),4900,0,Makanan dan Minuman,products/Larutan-Cap-Kaki-Tiga-Botol-Meredakan-Panas-Dalam-(200-ml).jpg
21,Permen Pagoda Pastiles Liquorice - 20 Gram,8200,0,Makanan dan Minuman,products/Permen-Pagoda-Pastiles-Liquorice---20-Gram.jpg
22,Fitbar Chocolate Snack Sehat Rendah Kalori 20 Gram (Pack - 5 Pcs),23000,0,Makanan dan Minuman,products/Fitbar-Chocolate-Snack-Sehat-Rendah-Kalori-20-Gram-(Pack---5-Pcs).jpg
23,Sgm Ananda Gain 100 Box (400 Gram),108500,0,Makanan dan Minuman,products/Sgm-Ananda-Gain-100-Box-(400-Gram).jpg
24,You C 1000 Vitamin Lemon Minuman Vitamin C 140 ml (Pack - 3 Botol),21000,0,Makanan dan Minuman,products/You-C-1000-Vitamin-Lemon-Minuman-Vitamin-C-140-ml-(Pack---3-Botol).jpg
25,Larutan Penyegar Cap Badak Botol untuk Panas Dalam (500 ml),8300,0,Makanan dan Minuman,products/Larutan-Penyegar-Cap-Badak-Botol-untuk-Panas-Dalam-(500-ml).jpg
26,Larutan Cap Kaki Tiga Guava (320 ml),7000,0,Makanan dan Minuman,products/Larutan-Cap-Kaki-Tiga-Guava-(320-ml).jpg
27,Permen Tolak Angin untuk Melegakan Tenggorokan (Pack - 5 Sachet),12500,0,Makanan dan Minuman,products/Permen-Tolak-Angin-untuk-Melegakan-Tenggorokan-(Pack---5-Sachet).jpg
28,Larutan Cap Kaki Tiga Rasa Leci untuk Meredakan Panas Dalam (320 ml),7000,0,Makanan dan Minuman,products/Larutan-Cap-Kaki-Tiga-Rasa-Leci-untuk-Meredakan-Panas-Dalam-(320-ml).jpg
29,Newlab+ Fitlogy Herb - Mini untuk Menurunkan Berat Badan (14 Pcs),62500,0,Makanan dan Minuman,products/Newlabplus-Fitlogy-Herb---Mini-untuk-Menurunkan-Berat-Badan-(14-Pcs).jpg
30,SGM LLM Susu Formula Usia 0-12 Bulan (200 Gram),48900,0,Makanan dan Minuman,products/SGM-LLM-Susu-Formula-Usia-0-12-Bulan-(200-Gram).jpg
31,You C 1000 Vitamin Orange Minuman Vitamin C 140 ml (Pack - 3 Botol),21000,0,Makanan dan Minuman,products/You-C-1000-Vitamin-Orange-Minuman-Vitamin-C-140-ml-(Pack---3-Botol).jpg
32,Bear Brand Susu Steril Menjaga Daya Tahan Tubuh (189 ml),10800,0,Makanan dan Minuman,products/Bear-Brand-Susu-Steril-Menjaga-Daya-Tahan-Tubuh-(189-ml).jpg
33,Larutan Cap Kaki Tiga Botol Meredakan Panas Dalam (200 ml),4900,0,Makanan dan Minuman,products/Larutan-Cap-Kaki-Tiga-Botol-Meredakan-Panas-Dalam-(200-ml).jpg
34,Permen Pagoda Pastiles Liquorice - 20 Gram,8200,0,Makanan dan Minuman,products/Permen-Pagoda-Pastiles-Liquorice---20-Gram.jpg
35,Fitbar Chocolate Snack Sehat Rendah Kalori 20 Gram (Pack - 5 Pcs),23000,0,Makanan dan Minuman,products/Fitbar-Chocolate-Snack-Sehat-Rendah-Kalori-20-Gram-(Pack---5-Pcs).jpg
36,Sgm Ananda Gain 100 Box (400 Gram),108500,0,Makanan dan Minuman,products/Sgm-Ananda-Gain-100-Box-(400-Gram).jpg
37,You C 1000 Vitamin Lemon Minuman Vitamin C 140 ml (Pack - 3 Botol),21000,0,Makanan dan Minuman,products/You-C-1000-Vitamin-Lemon-Minuman-Vitamin-C-140-ml-(Pack---3-Botol).jpg
38,Larutan Penyegar Cap Badak Botol untuk Panas Dalam (500 ml),8300,0,Makanan dan Minuman,products/Larutan-Penyegar-Cap-Badak-Botol-untuk-Panas-Dalam-(500-ml).jpg
39,Larutan Cap Kaki Tiga Guava (320 ml),7000,0,Makanan dan Minuman,products/Larutan-Cap-Kaki-Tiga-Guava-(320-ml).jpg
40,Permen Tolak Angin untuk Melegakan Tenggorokan (Pack - 5 Sachet),12500,0,Makanan dan Minuman,products/Permen-Tolak-Angin-untuk-Melegakan-Tenggorokan-(Pack---5-Sachet).jpg
41,Larutan Cap Kaki Tiga Rasa Leci untuk Meredakan Panas Dalam (320 ml),7000,0,Makanan dan Minuman,products/Larutan-Cap-Kaki-Tiga-Rasa-Leci-untuk-Meredakan-Panas-Dalam-(320-ml).jpg
42,Newlab+ Fitlogy Herb - Mini untuk Menurunkan Berat Badan (14 Pcs),62500,0,Makanan dan Minuman,products/Newlabplus-Fitlogy-Herb---Mini-untuk-Menurunkan-Berat-Badan-(14-Pcs).jpg
43,SGM LLM Susu Formula Usia 0-12 Bulan (200 Gram),48900,0,Makanan dan Minuman,products/SGM-LLM-Susu-Formula-Usia-0-12-Bulan-(200-Gram).jpg
44,Nutriflakes Minuman Serbuk Umbi Garut (280 Gram),112000,0,Makanan dan Minuman,products/Nutriflakes-Minuman-Serbuk-Umbi-Garut-(280-Gram).jpg
45,Ultra Milk Chocolate Tetrapak Slim 250 ml (Pack - 3 Pcs),21900,0,Makanan dan Minuman,products/Ultra-Milk-Chocolate-Tetrapak-Slim-250-ml-(Pack---3-Pcs).jpg
46,Vidoran Xmart 1+ Madu Susu Formula 1-3 Tahun (350 Gram),27600,0,Makanan dan Minuman,products/Vidoran-Xmart-1plus-Madu-Susu-Formula-1-3-Tahun-(350-Gram).jpg
47,SGM Eksplor 1 Plus Madu (150 Gram),17000,0,Makanan dan Minuman,products/SGM-Eksplor-1-Plus-Madu-(150-Gram).jpg
48,Vidoran Xmart 1+ Vanila Susu Formula 1-3 Tahun (350 Gram),27400,0,Makanan dan Minuman,products/Vidoran-Xmart-1plus-Vanila-Susu-Formula-1-3-Tahun-(350-Gram).jpg
49,Blenut Up Susu Pertumbuhan Anak (400 Gram),192000,0,Makanan dan Minuman,products/Blenut-Up-Susu-Pertumbuhan-Anak-(400-Gram).jpg
50,Fitbar Fruits Snack Sehat Rendah Kalori 20 Gram (Pack - 5 Pcs),23000,0,Makanan dan Minuman,products/Fitbar-Fruits-Snack-Sehat-Rendah-Kalori-20-Gram-(Pack---5-Pcs).jpg
