id,nama,harga,diskon_persen,kategori,path_gambar
1,Paracetamol 500 mg Tablet First Medifarma (10 Tablet),3500,0,Obat Bebas,products/Paracetamol-500-mg-Tablet-First-Medifarma-(10-Tablet).jpg
2,Alkohol Swab Onemed Tissue Alkohol Antiseptik (100 Pcs),15500,0,Obat Bebas,products/Alkohol-Swab-Onemed-Tissue-Alkohol-Antiseptik-(100-Pcs).jpg
3,Peditox untuk Pencegahan dan Pengobatan Epidemi Kuti Rambut (50 ml),12700,0,Obat Bebas,products/Peditox-untuk-Pencegahan-dan-Pengobatan-Epidemi-Kuti-Rambut-(50-ml).jpg
4,Antimo Anak Sirup Straw 5 ml untuk Mabuk Perjalanan (Pack - 10 Sachet),28000,0,Obat Bebas,products/Antimo-Anak-Sirup-Straw-5-ml-untuk-Mabuk-Perjalanan-(Pack---10-Sachet).jpg
5,Demacolin untuk Meringankan Gejala Flu (10 Tablet),6200,0,Obat Bebas,products/Demacolin-untuk-Meringankan-Gejala-Flu-(10-Tablet).jpg
6,Sanmol Forte Meringankan Sakit Kepala dan Demam (4 Tablet),3600,0,Obat Bebas,products/Sanmol-Forte-Meringankan-Sakit-Kepala-dan-Demam-(4-Tablet).jpg
7,Koyo Salonpas Biru Pereda Nyeri Otot/Pegal Linu (10 Lembar),9200,0,Obat Bebas,products/Koyo-Salonpas-Biru-Pereda-Nyeri-OtotmiringPegal-Linu-(10-Lembar).jpg
8,Lacto-B Menjaga Saluran Pencernaan Anak (10 Sachet),104000,0,Obat Bebas,products/Lacto-B-Menjaga-Saluran-Pencernaan-Anak-(10-Sachet).jpg
9,Degirol Lemon untuk Mengobati Sakit Tenggorokan &amp; Radang (10 Tablet),15300,0,Obat Bebas,products/Degirol-Lemon-untuk-Mengobati-Sakit-Tenggorokan-&amp;-Radang-(10-Tablet).jpg
10,Sanmol Membantu Meringankan Sakit Kepala dan Demam (4 Tablet),2500,0,Obat Bebas,products/Sanmol-Membantu-Meringankan-Sakit-Kepala-dan-Demam-(4-Tablet).jpg
11,Freshcare Smash Double Inhaler + Roll On Fruity (8 ml),14000,0,Obat Bebas,products/Freshcare-Smash-Double-Inhaler-plus-Roll-On-Fruity-(8-ml).jpg
12,Strocain P 400 mg untuk Mengatasi Kelebihan Asam Lambung (10 Tablet),34000,0,Obat Bebas,products/Strocain-P-400-mg-untuk-Mengatasi-Kelebihan-Asam-Lambung-(10-Tablet).jpg
13,Freshcare Smash Matcha Inhaler + Roll On (8 ml),16000,0,Obat Bebas,products/Freshcare-Smash-Matcha-Inhaler-plus-Roll-On-(8-ml).jpg
14,Esemag Sidomuncul untuk Meringankan Gangguan Lambung (5 Sachet),10000,0,Obat Bebas,products/Esemag-Sidomuncul-untuk-Meringankan-Gangguan-Lambung-(5-Sachet).jpg
15,Bodrex untuk Meringankan Sakit Kepala (20 Tablet),10200,0,Obat Bebas,products/Bodrex-untuk-Meringankan-Sakit-Kepala-(20-Tablet).jpg
16,Paratusin untuk Meringankan Gejala Flu (10 Tablet),17300,0,Obat Bebas,products/Paratusin-untuk-Meringankan-Gejala-Flu-(10-Tablet).jpg
17,Hansaplast Salep Luka (20 Gram),52100,0,Obat Bebas,products/Hansaplast-Salep-Luka-(20-Gram).jpg
18,Balsem Telon Tresno Joyo Meringankan Gejala Flu Anak (20 Gram),8600,0,Obat Bebas,products/Balsem-Telon-Tresno-Joyo-Meringankan-Gejala-Flu-Anak-(20-Gram).jpg
19,Sriti Krim Mengobati Segala Macam Masalah Kulit (10 Gram),11500,0,Obat Bebas,products/Sriti-Krim-Mengobati-Segala-Macam-Masalah-Kulit-(10-Gram).jpg
20,Paracetamol 500 mg untuk Menurunkan Demam (10 Kaplet),3800,0,Obat Bebas,products/Paracetamol-500-mg-untuk-Menurunkan-Demam-(10-Kaplet).jpg
