id,nama,harga,diskon_persen,kategori,path_gambar
1,Glycore 10% Cream Membantu Menyamarkan Noda Hitam pada Wajah (10 Gram),38500,0,Perawatan Tubuh,products/Glycore-10%-Cream-Membantu-Menyamarkan-Noda-Hitam-pada-Wajah-(10-Gram).jpg
2,Niacef 4 % Gel untuk Mengatasi Jerawat (15 Gram),36900,0,Perawatan Tubuh,products/Niacef-4-%-Gel-untuk-Mengatasi-Jerawat-(15-Gram).jpg
3,Bedak Harumsari untuk Mengurangi Bau Keringat diketiak (10 Sachet),12000,0,Perawatan Tubuh,products/Bedak-Harumsari-untuk-Mengurangi-Bau-Keringat-diketiak-(10-Sachet).jpg
4,Derma XP Niaclear untuk Mengatasi Jerawat (1 Tube),35000,0,Perawatan Tubuh,products/Derma-XP-Niaclear-untuk-Mengatasi-Jerawat-(1-Tube).jpg
5,Glycore 8% Cream Membantu Menyamarkan Noda Hitam pada Wajah (10 Gram),35500,0,Perawatan Tubuh,products/Glycore-8%-Cream-Membantu-Menyamarkan-Noda-Hitam-pada-Wajah-(10-Gram).jpg
6,Bedak MBK Putih untuk Mengurangi Bau Keringat diketiak (12 Sachet),31200,0,Perawatan Tubuh,products/Bedak-MBK-Putih-untuk-Mengurangi-Bau-Keringat-diketiak-(12-Sachet).jpg
7,Kapas Kecantikan Selection - 35 Gram,7200,0,Perawatan Tubuh,products/Kapas-Kecantikan-Selection---35-Gram.jpg
8,Kapas Selection Pembersih Wajah Pack - 50 Gram,9800,0,Perawatan Tubuh,products/Kapas-Selection-Pembersih-Wajah-Pack---50-Gram.jpg
9,Bedak Marcks Cream untuk Mengatasi Jerawat &amp; Wajah Berminyak (40 Gram),22000,0,Perawatan Tubuh,products/Bedak-Marcks-Cream-untuk-Mengatasi-Jerawat-&amp;-Wajah-Berminyak-(40-Gram).jpg
10,Lactacyd Baby Gentle Care untuk Menjaga Kebersihan Kulit Bayi (60 ml),36500,0,Perawatan Tubuh,products/Lactacyd-Baby-Gentle-Care-untuk-Menjaga-Kebersihan-Kulit-Bayi-(60-ml).jpg
11,Lactacyd All Day Care (60 ml),34800,0,Perawatan Tubuh,products/Lactacyd-All-Day-Care-(60-ml).jpg
12,Bedak Marcks (Pink) - 40 Gram,22000,0,Perawatan Tubuh,products/Bedak-Marcks-(Pink)---40-Gram.jpg
13,Bedak MBK Silver untuk Mengurangi Bau Keringat diketiak (12 Sachet),43200,0,Perawatan Tubuh,products/Bedak-MBK-Silver-untuk-Mengurangi-Bau-Keringat-diketiak-(12-Sachet).jpg
14,Betadine Feminine Hygiene untuk Kebersihan Kewanitaan (60 ml),42200,0,Perawatan Tubuh,products/Betadine-Feminine-Hygiene-untuk-Kebersihan-Kewanitaan-(60-ml).jpg
15,Autan Lotion Junior 50Gr,13200,0,Perawatan Tubuh,products/Autan-Lotion-Junior-50Gr.jpg
16,Ovale Facial Lotion Perfect Luminous Bengkoang (60 ml),13600,0,Perawatan Tubuh,products/Ovale-Facial-Lotion-Perfect-Luminous-Bengkoang-(60-ml).jpg
17,Natur E White Brightening Hand &amp; Body Serum Mencerahkan Kulit (180 ml),46500,0,Perawatan Tubuh,products/Natur-E-White-Brightening-Hand-&amp;-Body-Serum-Mencerahkan-Kulit-(180-ml).jpg
18,Betadine Obat Kumur Antiseptik untuk Mengatasi Masalah Mulut (190 ml),42900,0,Perawatan Tubuh,products/Betadine-Obat-Kumur-Antiseptik-untuk-Mengatasi-Masalah-Mulut-(190-ml).jpg
19,Lactacyd Baby Gentle Care untuk Menjaga Kebersihan Kulit Bayi (150 ml),84500,0,Perawatan Tubuh,products/Lactacyd-Baby-Gentle-Care-untuk-Menjaga-Kebersihan-Kulit-Bayi-(150-ml).jpg
20,Pure Cotton Buds Baby (CI 0081) Membersihkan Telinga Bayi (100 Pcs),7000,0,Perawatan Tubuh,products/Pure-Cotton-Buds-Baby-(CI-0081)-Membersihkan-Telinga-Bayi-(100-Pcs).jpg
21,Sabun Asepso Plus Sabun Antiseptik (80 Gram),10000,0,Perawatan Tubuh,products/Sabun-Asepso-Plus-Sabun-Antiseptik-(80-Gram).jpg
22,Cetaphil Gentle Skin Cleanser untuk Pembersih Wajah &amp; Tubuh (125 ml),105000,0,Perawatan Tubuh,products/Cetaphil-Gentle-Skin-Cleanser-untuk-Pembersih-Wajah-&amp;-Tubuh-(125-ml).jpg
23,Yoona Day Pads 24.5 cm Pembalut Wanita (10 Pads),33500,0,Perawatan Tubuh,products/Yoona-Day-Pads-24.5-cm-Pembalut-Wanita-(10-Pads).jpg
24,Vio Acne Shield Patch Tea Tree Oil (18 Patches),16500,0,Perawatan Tubuh,products/Vio-Acne-Shield-Patch-Tea-Tree-Oil-(18-Patches).jpg
25,Charm Night 29cm Pembalut Wanita untuk Malam Hari (9 Pads),11500,0,Perawatan Tubuh,products/Charm-Night-29cm-Pembalut-Wanita-untuk-Malam-Hari-(9-Pads).jpg
26,Marcks Active Creme Bedak Tabur (20 Gram),34000,0,Perawatan Tubuh,products/Marcks-Active-Creme-Bedak-Tabur-(20-Gram).jpg
27,Glyco Moist 10% Membantu Menyamarkan Noda Hitam pada Wajah (12 Gram),23900,0,Perawatan Tubuh,products/Glyco-Moist-10%-Membantu-Menyamarkan-Noda-Hitam-pada-Wajah-(12-Gram).jpg
28,My Baby Powder Telon Plus Melembabkan Kulit Bayi (100 + 25 Gram),7300,0,Perawatan Tubuh,products/My-Baby-Powder-Telon-Plus-Melembabkan-Kulit-Bayi-(100-plus-25-Gram).jpg
29,Kanna Cream - 30 Gram,20000,0,Perawatan Tubuh,products/Kanna-Cream---30-Gram.jpg
30,Betadine Sabun Antiseptik (100 ml),47200,0,Perawatan Tubuh,products/Betadine-Sabun-Antiseptik-(100-ml).jpg
31,Noroid Lotion (200 ml),223700,0,Perawatan Tubuh,products/Noroid-Lotion-(200-ml).jpg
32,Instance Hand Sanitizer Spray (100 ml),13500,0,Perawatan Tubuh,products/Instance-Hand-Sanitizer-Spray-(100-ml).jpg
33,Sabun Asepso Sulphur (80 Gram),10100,0,Perawatan Tubuh,products/Sabun-Asepso-Sulphur-(80-Gram).jpg
34,Selsun Yellow Double Impact Shampoo (50 ml),29500,0,Perawatan Tubuh,products/Selsun-Yellow-Double-Impact-Shampoo-(50-ml).jpg
35,Kapas Selection Kapas untuk Wajah (75 Gram),14500,0,Perawatan Tubuh,products/Kapas-Selection-Kapas-untuk-Wajah-(75-Gram).jpg
36,Yoona Night Pads 29 cm Pembalut Wanita untuk Malam Hari (8 Pads),34600,0,Perawatan Tubuh,products/Yoona-Night-Pads-29-cm-Pembalut-Wanita-untuk-Malam-Hari-(8-Pads).jpg
37,Marina Hand Body Lotion Nutri Serum Menjaga Kelembaban Kulit (190 ml),8500,0,Perawatan Tubuh,products/Marina-Hand-Body-Lotion-Nutri-Serum-Menjaga-Kelembaban-Kulit-(190-ml).jpg
38,Pure Cotton Buds Adult (CI 0010) Membersihkan Telinga Dewasa (100 Pcs),6500,0,Perawatan Tubuh,products/Pure-Cotton-Buds-Adult-(CI-0010)-Membersihkan-Telinga-Dewasa-(100-Pcs).jpg
39,Antis Jasmine Tea Spray Pembersih Tangan - 55 ml,14500,0,Perawatan Tubuh,products/Antis-Jasmine-Tea-Spray-Pembersih-Tangan---55-ml.jpg
40,Nivea Lip Care Lip Balm Strawberry Shine (4.8 Gram),34900,0,Perawatan Tubuh,products/Nivea-Lip-Care-Lip-Balm-Strawberry-Shine-(4.8-Gram).jpg
41,Betadine Obat Kumur Antiseptik untuk Mengatasi Masalah Mulut (100 ml),28500,0,Perawatan Tubuh,products/Betadine-Obat-Kumur-Antiseptik-untuk-Mengatasi-Masalah-Mulut-(100-ml).jpg
42,Yoona Night Pads 36 cm Pembalut Wanita untuk Malam Hari (6 Pads),36700,0,Perawatan Tubuh,products/Yoona-Night-Pads-36-cm-Pembalut-Wanita-untuk-Malam-Hari-(6-Pads).jpg
43,Sensodyne Repair And Protect Extra Fresh Meredakan Ngilu Akibat Sensitif (100 Gram),47900,0,Perawatan Tubuh,products/Sensodyne-Repair-And-Protect-Extra-Fresh-Meredakan-Ngilu-Akibat-Sensitif-(100-Gram).jpg
44,Cotton Ball Medisoft Biru untuk Membersihkan Bagian Tubuh Bayi (1 Pcs),12400,0,Perawatan Tubuh,products/Cotton-Ball-Medisoft-Biru-untuk-Membersihkan-Bagian-Tubuh-Bayi-(1-Pcs).jpg
45,Bio Oil untuk Menyamarkan Bekas Luka (25 ml),71500,0,Perawatan Tubuh,products/Bio-Oil-untuk-Menyamarkan-Bekas-Luka-(25-ml).jpg
46,Breast Pads Mama Pad Flower Shape 24`S,29500,0,Perawatan Tubuh,products/Breast-Pads-Mama-Pad-Flower-Shape-24`S.jpg
47,Magic Power Hitam 6`S,16500,0,Perawatan Tubuh,products/Magic-Power-Hitam-6`S.jpg
48,White-Neng Cream (10 Gram),53200,0,Perawatan Tubuh,products/White-Neng-Cream-(10-Gram).jpg
49,Probaby Liquid Cleanser 450ml,19000,0,Perawatan Tubuh,products/Probaby-Liquid-Cleanser-450ml.jpg
50,Acnol Lotion (10 ml),21900,0,Perawatan Tubuh,products/Acnol-Lotion-(10-ml).jpg
